TYPE,ITEM,DESCRIPTION,DETAILS,STORAGE,MIN,MAX,UNIT
BEVERAGES,"Juice in cartons, fruit drinks, punch",,unopened,REFRIGERATED,3,,week
BEVERAGES,"Juice in cartons, fruit drinks, punch",,opened,REFRIGERATED,7,10,day
BEVERAGES,"Juice in cartons, fruit drinks, punch",,,FROZEN,8,12,month
DIARY,Butter,,,REFRIGERATED,1,3,month
DIARY,Butter,,,FROZEN,6,9,month
DIARY,Buttermilk,,,REFRIGERATED,1,2,week
DIARY,Buttermilk,,,FROZEN,3,,month
DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",,unopened,REFRIGERATED,6,,month
DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",,,FROZEN,6,,month
DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",,opened,REFRIGERATED,3,4,week
DIARY,"Parmesan, shredded",,opened,REFRIGERATED,1,,month
DIARY,"Parmesan, shredded",,,FROZEN,3,4,month
DIARY,"Shredded cheddar, mozzarella, etc.",,,REFRIGERATED,1,,month
DIARY,"Shredded cheddar, mozzarella, etc.",,,FROZEN,3,4,month
DIARY,"Cheese, processed slices",,,REFRIGERATED,1,2,month
DIARY,"Cheese, processed slices",,Do not freeze,FROZEN,,,
DIARY,"Cheese, soft (such as Brie, Bel Paese)",,,REFRIGERATED,1,,week
DIARY,"Cheese, soft (such as Brie, Bel Paese)",,,FROZEN,6,,month
DIARY,"Cottage cheese, ricotta",,,REFRIGERATED,1,,week
DIARY,"Cottage cheese, ricotta",,Do not freeze,FROZEN,,,
DIARY,Cream cheese,,,REFRIGERATED,2,,week
DIARY,Cream cheese,,Do not freeze,FROZEN,,,
DIARY,"Cream, whipping, ultrapasteurized",,,REFRIGERATED,1,,month
DIARY,"Cream, whipping, ultrapasteurized",,Do not freeze,FROZEN,,,
DIARY,"Whipped, sweetened",,,REFRIGERATED,1,,day
DIARY,"Whipped, sweetened",,,FROZEN,1,2,month
DIARY,"Aerosol can, real whipped cream",,,REFRIGERATED,3,4,week
DIARY,"Aerosol can, real whipped cream",,Do not freeze,FROZEN,,,
DIARY,"Aerosol can, nondairy topping",,,REFRIGERATED,3,,month
DIARY,"Aerosol can, nondairy topping",,Do not freeze,FROZEN,,,
DIARY,"Cream, half-and-half",,,REFRIGERATED,3,4,day
DIARY,"Cream, half-and-half",,,FROZEN,4,,month
DIARY,"Dips, sour cream based",,,REFRIGERATED,2,,week
DIARY,"Dips, sour cream based",,Do not freeze,FROZEN,,,
DIARY,"Egg substitutes, liquid",,unopened,REFRIGERATED,10,,day
DIARY,"Egg substitutes, liquid",,opened,REFRIGERATED,3,,day
DIARY,"Egg substitutes, liquid",,Do not freeze,FROZEN,,,
DIARY,"Eggnog, commercial",,,REFRIGERATED,3,5,day
DIARY,"Eggnog, commercial",,,FROZEN,6,,month
DIARY,"Eggs, in shell",,,REFRIGERATED,3,5,week
DIARY,"Eggs, in shell",,Do not freeze,FROZEN,,,
DIARY,"Eggs, raw whites, yolks*",,,REFRIGERATED,2,4,day
DIARY,"Eggs, raw whites, yolks*",,,FROZEN,12,,month
DIARY,"Eggs, hard cooked",,,REFRIGERATED,1,,week
DIARY,"Eggs, hard cooked",,Do not freeze,FROZEN,,,
DIARY,Kefir (fermented milk),After date,unopened,REFRIGERATED,1,,week
DIARY,Kefir (fermented milk),,opened,REFRIGERATED,1,2,day
DIARY,Kefir (fermented milk),,Do not freeze,FROZEN,,,
DIARY,Margarine,,,REFRIGERATED,6,,month
DIARY,Margarine,,,FROZEN,12,,month
DIARY,"Milk, plain or flavored",,,REFRIGERATED,1,,week
DIARY,"Milk, plain or flavored",,,FROZEN,3,,month
DIARY,Pudding,Package date,unopened,REFRIGERATED,,,
DIARY,Pudding,,opened,REFRIGERATED,2,,day
DIARY,Pudding,,Do not freeze,FROZEN,,,
DIARY,Sour cream,,,REFRIGERATED,7,21,day
DIARY,Sour cream,Do not freeze,,FROZEN,,,
DIARY,Yogurt,,,REFRIGERATED,7,14,day
DIARY,Yogurt,,,FROZEN,1,2,month
DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",Use-by date,,REFRIGERATED,,,
DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",,Do not freeze,FROZEN,,,
DOUGH,Ready-to-bake pie crust,Use-by date,,REFRIGERATED,,,
DOUGH,Ready-to-bake pie crust,,,FROZEN,2,,month
DOUGH,Cookie dough,Use by date,unopened,REFRIGERATED,,,
DOUGH,Cookie dough,Use by date,opened,REFRIGERATED,,,
DOUGH,Cookie dough,,,FROZEN,2,,month
PASTA,"Pasta, fresh",,,REFRIGERATED,1,2,day
PASTA,"Pasta, fresh",package date,,REFRIGERATED,,,
PASTA,"Pasta, fresh",,,FROZEN,2,,month
PESTO,Pesto or Sala,package date,unopened,REFRIGERATED,,,
PESTO,Pesto or Sala,,opened,REFRIGERATED,3,,day
PESTO,Pesto or Sala,,,FROZEN,1,2,month
SOY,"Soy or rice beverage, refrigerated",,,REFRIGERATED,7,10,day
SOY,"Soy or rice beverage, refrigerated",,Do not freeze,FROZEN,,,
SOY,Tofu,,,REFRIGERATED,1,,week
SOY,Tofu,,,FROZEN,5,,month
SOY,Miso,,,REFRIGERATED,3,,month
SOY,Miso,,Do not freeze,FROZEN,,,
FISH,"Lean fish (cod, flounder, haddock, halibut, sole, etc.)",,,REFRIGERATED,1,2,day
FISH,"Lean fish (cod, flounder, haddock, halibut, sole, etc.)",,,FROZEN,6,8,month
FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",,,REFRIGERATED,1,2,day
FISH,"Lean fish (pollock, ocean perch, rockfish, sea trout)",,,FROZEN,4,,month
FISH,"Fatty fish (bluefish, mackerel, mullet, salmon, tuna, etc.)",,,REFRIGERATED,1,2,day
FISH,"Fatty fish (bluefish, mackerel, mullet, salmon, tuna, etc.)",,,FROZEN,2,3,month
FISH,"Caviar, fresh, in jar",,unopened,REFRIGERATED,1,4,week
FISH,"Caviar, fresh, in jar",,opened,REFRIGERATED,2,,day
FISH,"Caviar, fresh, in jar",,Do not freeze,FROZEN,,,
FISH,"Cooked fish, all",,,REFRIGERATED,3,4,day
FISH,"Cooked fish, all",,,FROZEN,1,2,month
FISH,Surimi seafood,,,REFRIGERATED,3,4,day
FISH,Surimi seafood,package date,,REFRIGERATED,,,
FISH,Surimi seafood,,,FROZEN,9,,month
SHELLFISH,"Shrimp, scallops, crayfish, squid",,,REFRIGERATED,1,2,day
SHELLFISH,"Shrimp, scallops, crayfish, squid",,,FROZEN,3,6,month
SHELLFISH,"Shucked clams, mussels and oysters",,,REFRIGERATED,1,2,day
SHELLFISH,"Shucked clams, mussels and oysters",,,FROZEN,3,4,month
SHELLFISH,"Crab meat, fresh",,,REFRIGERATED,1,2,day
SHELLFISH,"Crab meat, fresh",,,FROZEN,4,,month
SHELLFISH,"Crab meat, pasteurized",,unopened,REFRIGERATED,6,,month
SHELLFISH,"Crab meat, pasteurized",,opened,REFRIGERATED,3,5,day
SHELLFISH,"Crab meat, pasteurized",,,FROZEN,4,,month
SHELLFISH,"Crab legs, king, dungeness, snow",,,REFRIGERATED,5,,day
SHELLFISH,"Crab legs, king, dungeness, snow",,,FROZEN,9,12,month
SHELLFISH,"Live clams, mussels, crab and oysters",,,REFRIGERATED,1,2,day
SHELLFISH,"Live clams, mussels, crab and oysters",,,FROZEN,2,3,month
SHELLFISH,Live lobsters,,,REFRIGERATED,1,2,day
SHELLFISH,Live lobsters,,,FROZEN,2,3,month
SHELLFISH,Lobster tails,,,REFRIGERATED,1,2,day
SHELLFISH,Lobster tails,,,FROZEN,6,,month
SHELLFISH,"Cooked shellfish, all",,,REFRIGERATED,3,4,day
SHELLFISH,"Cooked shellfish, all",,,FROZEN,3,,month
SMOKEDFISH,Herring,,,REFRIGERATED,3,4,day
SMOKEDFISH,Herring,,,FROZEN,2,,month
SMOKEDFISH,"Salmon, whitefish, cold-smoked",,,REFRIGERATED,5,8,day
SMOKEDFISH,"Salmon, whitefish, cold-smoked",,,FROZEN,2,,month
SMOKEDFISH,"Salmon, whitefish, hot smoked",,,REFRIGERATED,14,,day
SMOKEDFISH,"Salmon, whitefish, hot smoked",package date,,REFRIGERATED,,,
SMOKEDFISH,"Salmon, whitefish, hot smoked",,vacuum pkg,FROZEN,6,,month
FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",,,REFRIGERATED,3,5,day
FRESH_MEAT,"Beef, lamb, pork or veal chops, steaks,roasts",,,FROZEN,4,12,month
FRESH_MEAT,Ground meat,,,REFRIGERATED,1,2,day
FRESH_MEAT,Ground meat,,,FROZEN,3,4,month
FRESH_MEAT,"Variety meats (liver, tongue, chitterlings, etc.)",,,REFRIGERATED,1,2,day
FRESH_MEAT,"Variety meats (liver, tongue, chitterlings, etc.)",,,FROZEN,3,4,month
FRESH_MEAT,Cooked meats (after home cooking),,,REFRIGERATED,3,4,day
FRESH_MEAT,Cooked meats (after home cooking),,,FROZEN,2,3,month
PROCESSED_MEAT,Bacon,,,REFRIGERATED,1,,week
PROCESSED_MEAT,Bacon,,,FROZEN,1,,month
PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",,,REFRIGERATED,5,7,day
PROCESSED_MEAT,"Corned beef, in pouch with pickling juices",,,FROZEN,1,,month
PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",,,REFRIGERATED,6,9,month
PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",,Do not freeze,FROZEN,,,
PROCESSED_MEAT,"Ham, fully cooked, whole",,,REFRIGERATED,1,,week
PROCESSED_MEAT,"Ham, fully cooked, whole",,,FROZEN,1,2,month
PROCESSED_MEAT,"Ham, fully cooked, slices or half",,,REFRIGERATED,3,4,day
PROCESSED_MEAT,"Ham, fully cooked, slices or half",,,FROZEN,1,2,month
PROCESSED_MEAT,"Ham, cook before eating",,,REFRIGERATED,1,,week
PROCESSED_MEAT,"Ham, cook before eating",,,FROZEN,1,2,month
PROCESSED_MEAT,"Hot dogs, sealed in package",,,REFRIGERATED,2,,week
PROCESSED_MEAT,"Hot dogs, sealed in package",,,FROZEN,1,2,month
PROCESSED_MEAT,"Hot dogs, after opening",,,REFRIGERATED,1,,week
PROCESSED_MEAT,"Hot dogs, after opening",,,FROZEN,1,2,month
PROCESSED_MEAT,"Lunch meats, sealed in package",,,REFRIGERATED,2,,week
PROCESSED_MEAT,"Lunch meats, sealed in package",,,FROZEN,1,2,month
PROCESSED_MEAT,"Lunch meats, after opening",,,REFRIGERATED,3,5,day
PROCESSED_MEAT,"Lunch meats, after opening",,,FROZEN,1,2,month
PROCESSED_MEAT,"Sausage, raw, bulk type",,,REFRIGERATED,1,2,day
PROCESSED_MEAT,"Sausage, raw, bulk type",,,FROZEN,1,2,month
PROCESSED_MEAT,"Sausage, smoked links, patties",,,REFRIGERATED,1,,week
PROCESSED_MEAT,"Sausage, smoked links, patties",,,FROZEN,1,2,month
PROCESSED_MEAT,"Sausage, hard, dry (pepperoni), sliced",,,REFRIGERATED,2,3,week
PROCESSED_MEAT,"Sausage, hard, dry (pepperoni), sliced",,,FROZEN,1,2,month
FRESH_POULTRY,"Chicken or turkey, whole",,,REFRIGERATED,1,2,day
FRESH_POULTRY,"Chicken or turkey, whole",,,FROZEN,12,,month
FRESH_POULTRY,"Chicken or turkey, parts",,,REFRIGERATED,1,2,day
FRESH_POULTRY,"Chicken or turkey, parts",,,FROZEN,9,,month
FRESH_POULTRY,"Duckling or goose, whole",,,REFRIGERATED,1,2,day
FRESH_POULTRY,"Duckling or goose, whole",,,FROZEN,6,,month
FRESH_POULTRY,Giblets,,,REFRIGERATED,1,2,day
FRESH_POULTRY,Giblets,,,FROZEN,3,4,month
