TYPE,ITEM,PERIOD,DETAILS,STORAGE
BEVERAGES,"Juice in cartons, fruit drinks, punch",3 weeks,unopened,REFRIGERATED
BEVERAGES,"Juice in cartons, fruit drinks, punch",7-10 days,opened,REFRIGERATED
BEVERAGES,"Juice in cartons, fruit drinks, punch",8-12 months,,FROZEN
DIARY,Butter,1-3 months,,REFRIGERATED
DIARY,Butter,6-9 months,,FROZEN
DIARY,Buttermilk,1-2 weeks,,REFRIGERATED
DIARY,Buttermilk,3 months,,FROZEN
DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,unopened,REFRIGERATED
DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",6 months,,FROZEN
DIARY,"Cheese, hard (such as cheddar,  swiss, block parmesan)",3-4 weeks,opened,REFRIGERATED
DIARY,"Parmesan, shredded",1 month,opened,REFRIGERATED
DIARY,"Parmesan, shredded",3-4 months,,FROZEN
DIARY,"Shredded cheddar, mozzarella, etc.",1 month,,REFRIGERATED
DIARY,"Shredded cheddar, mozzarella, etc.",3-4 months,,FROZEN
DIARY,"Cheese, processed slices",1-2 months,,REFRIGERATED
DIARY,"Cheese, processed slices",,Do not freeze,FROZEN
DIARY,"Cheese, soft (such as Brie, Bel Paese)",1 week,,REFRIGERATED
DIARY,"Cheese, soft (such as Brie, Bel Paese)",6 months,,FROZEN
DIARY,"Cottage cheese, ricotta",1 week,,REFRIGERATED
DIARY,"Cottage cheese, ricotta",,Do not freeze,FROZEN
DIARY,Cream cheese,2 weeks,,REFRIGERATED
DIARY,Cream cheese,,Do not freeze,FROZEN
DIARY,"Cream, whipping, ultrapasteurized",1 month,,REFRIGERATED
DIARY,"Cream, whipping, ultrapasteurized",,Do not freeze,FROZEN
DIARY,"Whipped, sweetened",1 day,,REFRIGERATED
DIARY,"Whipped, sweetened",1-2 months,,FROZEN
DIARY,"Aerosol can, real whipped cream",3-4 weeks,,REFRIGERATED
DIARY,"Aerosol can, real whipped cream",,Do not freeze,FROZEN
DIARY,"Aerosol can, nondairy topping",3 months,,REFRIGERATED
DIARY,"Aerosol can, nondairy topping",,Do not freeze,FROZEN
DIARY,"Cream, half-and-half",3-4 days,,REFRIGERATED
DIARY,"Cream, half-and-half",4 months,,FROZEN
DIARY,"Dips, sour cream based",2 weeks,,REFRIGERATED
DIARY,"Dips, sour cream based",,Do not freeze,FROZEN
DIARY,"Egg substitutes, liquid",10 days,unopened,REFRIGERATED
DIARY,"Egg substitutes, liquid",3 days,opened,REFRIGERATED
DIARY,"Egg substitutes, liquid",,Do not freeze,FROZEN
DIARY,"Eggnog, commercial",3-5 days,,REFRIGERATED
DIARY,"Eggnog, commercial",6 months,,FROZEN
DIARY,"Eggs, in shell",3-5 weeks,,REFRIGERATED
DIARY,"Eggs, in shell",,Do not freeze,FROZEN
DIARY,"Eggs, raw whites, yolks*",2-4 days,,REFRIGERATED
DIARY,"Eggs, raw whites, yolks*",12 months,,FROZEN
DIARY,"Eggs, hard cooked",1 week,,REFRIGERATED
DIARY,"Eggs, hard cooked",,Do not freeze,FROZEN
DIARY,Kefir (fermented milk),1 week after date,unopened,REFRIGERATED
DIARY,Kefir (fermented milk),1-2 days,opened,REFRIGERATED
DIARY,Kefir (fermented milk),,Do not freeze,FROZEN
DIARY,Margarine,6 months,,REFRIGERATED
DIARY,Margarine,12 months,,FROZEN
DIARY,"Milk, plain or flavored",1 week,,REFRIGERATED
DIARY,"Milk, plain or flavored",3 months,,FROZEN
DIARY,Pudding,Package date,unopened,REFRIGERATED
DIARY,Pudding,2 days,opened,REFRIGERATED
DIARY,Pudding,,Do not freeze,FROZEN
DIARY,Sour cream,7-21 days,,REFRIGERATED
DIARY,Sour cream,Do not freeze,,FROZEN
DIARY,Yogurt,7-14 days,,REFRIGERATED
DIARY,Yogurt,1-2 months,,FROZEN
DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",Use-by date,,REFRIGERATED
DOUGH,"Tube cans of biscuits, rolls, pizza dough, etc.",,Do not freeze,FROZEN
DOUGH,Ready-to-bake pie crust,Use-by date,,REFRIGERATED
DOUGH,Ready-to-bake pie crust,2 months,,FROZEN
DOUGH,Cookie dough,Use by date,unopened,REFRIGERATED
