TYPE,ITEM,DESCRIPTION,DETAILS,STORAGE,MIN,MAX,UNIT
FRUIT,Apples,,,SHELF,1,2,day
FRUIT,Apricots,Until ripe,,SHELF,,,
FRUIT,Avocados,Until ripe,,SHELF,,,
FRUIT,Bananas,Until ripe,,SHELF,,,
FRUIT,Citrus Fruit,,,SHELF,10,,day
FRUIT,Coconuts,,fresh,SHELF,1,,week
FRUIT,Grapes,,,SHELF,1,,day
FRUIT,Kiwi Fruit,Until ripe,,SHELF,,,
FRUIT,Melons,,,SHELF,1,2,day
FRUIT,"Papaya, mango",,,SHELF,3,5,day
FRUIT,"Peaches, nectarines",Until ripe,,SHELF,,,
FRUIT,"Pears, Plums",,,SHELF,3,5,day
VEGETABLES,"Artichokes, whole",,,SHELF,1,2,day
VEGETABLES,Beets,,,SHELF,1,,day
VEGETABLES,Eggplant,,,SHELF,1,,day
VEGETABLES,Garlic,,,SHELF,1,,month
VEGETABLES,Ginger Root,,,SHELF,1,2,day
VEGETABLES,"Onions, dry",,,SHELF,2,3,week
VEGETABLES,Potatoes,,,SHELF,1,2,month
VEGETABLES,Rutabagas,,,SHELF,1,,week
VEGETABLES,"Squash, winter",,,SHELF,1,,week
VEGETABLES,Tomatoes,Until ripe,,SHELF,,,
SHELF_ITEM,"Baby food, jars or cans, fruits & vegetables",Use-by date,unopened,SHELF,,,
SHELF_ITEM,"Baby food, meats & eggs",Use-by date,unopened,SHELF,,,
SHELF_ITEM,"Baby food, cereal, dry mixes",Use-by date,unopened,SHELF,,,
SHELF_ITEM,"Baby food, cereal, dry mixes",,opened,SHELF,2,,month
SHELF_ITEM,"Baby food, formula",Use-by date,unopened,SHELF,,,
SHELF_ITEM,"Bacon Bits, Imitation",,unopened,SHELF,4,,month
SHELF_ITEM,"Bacon Bits, Imitation",,opened,SHELF,4,,month
SHELF_ITEM,"Beans, Dried",,unopened,SHELF,12,,month
SHELF_ITEM,"Beans, Dried",,opened,SHELF,12,,month
SHELF_ITEM,"Canned goods, low acid (such as meat, poultry, fish, gravy, stew, soups, beans, carrots, corn, pasta, peas, potatoes, spinach)",,unopened,SHELF,2,5,year
SHELF_ITEM,"Canned goods, high acid (such as juices, fruit, pickles, sauerkraut, tomato soup, and foods in vinegar-based sauce)",,unopened,SHELF,12,18,month
SHELF_ITEM,"Cereal, ready-to-eat",,unopened,SHELF,6,12,month
SHELF_ITEM,"Cereal, ready-to-eat",,opened,SHELF,3,,month
SHELF_ITEM,"Cereal, cook before eating (oatmeal, etc.)",,unopened,SHELF,12,,month
SHELF_ITEM,"Cereal, cook before eating (oatmeal, etc.)",,opened,SHELF,6,12,month
SHELF_ITEM,"Coffee, whole beans",,unopened,SHELF,1,3,week
SHELF_ITEM,"Coffee, whole beans",,opened,SHELF,1,,week
SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",,unopened,SHELF,2,,year
SHELF_ITEM,"Coffee, non-vacuum bag ground, in cans",,opened,SHELF,1,,week
SHELF_ITEM,"Coffee, instant, jars and tins",,unopened,SHELF,12,,month
SHELF_ITEM,"Coffee, instant, jars and tins",,opened,SHELF,2,3,month
BAKING,Baking powder,,unopened,SHELF,6,,month
BAKING,Baking powder,,opened,SHELF,3,,month
BAKING,Baking soda,,unopened,SHELF,18,,month
BAKING,Baking soda,,opened,SHELF,6,,month
BAKING,Biscuit or pancake mix,,unopened,SHELF,15,,month
BAKING,Biscuit or pancake mix,Pkg use-by date,opened,SHELF,,,
BAKING,"Cake, Brownie, Bread Mixes",,unopened,SHELF,12,18,month
BAKING,"Cake, Brownie, Bread Mixes",Pkg use-by date,opened,SHELF,,,
BAKING,"Cornmeal, regular, degerminated",,unopened,SHELF,6,12,month
BAKING,"Cornmeal, stone ground or blue",,unopened,SHELF,1,,month
BAKING,Cornstarch,,unopened,SHELF,18,,month
BAKING,Cornstarch,,opened,SHELF,18,,month
BAKING,"Flour, white",,unopened,SHELF,6,12,month
BAKING,"Flour, white",,opened,SHELF,6,8,month
BAKING,"Flour, whole wheat",,unopened,SHELF,1,,month
BAKING,"Frosting, canned",,unopened,SHELF,10,,month
BAKING,"Frosting, canned",,opened,SHELF,3,,month
BAKING,"Frosting, Frosting mixes",,unopened,SHELF,12,,month
