TYPE,ITEM,DESCRIPTION,DETAILS,STORAGE,MIN,MAX,UNIT
DIARY,"Cheese, processed slices",,,REFRIGERATED,1,2,month
DIARY,"Eggs, in shell",,,REFRIGERATED,3,5,week
DIARY,Margarine,,,FROZEN,12,,month
DIARY,"Milk, plain or flavored",,,REFRIGERATED,1,,week
SOY,Tofu,,,REFRIGERATED,1,,week
PROCESSED_MEAT,Bacon,,,REFRIGERATED,1,,week
PROCESSED_MEAT,"Ham, canned (""keep refrigerated"" label)",,,REFRIGERATED,6,9,month
FRUIT,Apples,,,SHELF,1,2,day
FRUIT,Bananas,Until ripe,,SHELF,,,
VEGETABLES,Tomatoes,Until ripe,,SHELF,,,
SHELF_ITEM,"Rice, white or wild",,unopened,SHELF,2,,year
BAKERY,"Bread, commercial*",,,SHELF,2,4,day
